,Ingredients,Rate,Category,Information
40,hamamelitannin,POOR,"Antioxidants, Sensitizing",
41,hayflower extract,POOR,"Plant Extracts, Sensitizing",
42,Hedera helix,POOR,"Plant Extracts, Sensitizing",
43,hedione,POOR,"Fragrance: Synthetic and Fragrant Plant Extracts, Sensitizing",
44,hexyl cinnamal,POOR,"Fragrance: Synthetic and Fragrant Plant Extracts, Sensitizing",
45,horse elder,POOR,"Plant Extracts, Sensitizing",
46,horseradish,POOR,"Plant Extracts, Sensitizing",
47,Hydnocarpus anthelmintica,POOR,"Plant Extracts, Sensitizing",
48,Hydrastis canadenis,POOR,"Plant Extracts, Sensitizing",
49,hydrogen peroxide,POOR,Sensitizing,
50,Hypericum extract,GOOD,"Antioxidants, Sensitizing, Plant Extracts",
51,hyssop,AVERAGE,"Plant Extracts, Fragrance: Synthetic and Fragrant Plant Extracts, Sensitizing",
52,Illicium vernum,POOR,"Antioxidants, Sensitizing, Fragrance: Synthetic and Fragrant Plant Extracts",
53,Inula helenium,POOR,"Plant Extracts, Sensitizing",
54,Iris florentina extract,POOR,"Plant Extracts, Fragrance: Synthetic and Fragrant Plant Extracts, Sensitizing",
55,isopropyl alcohol,POOR,Sensitizing,
56,ivy extract,POOR,"Plant Extracts, Sensitizing",
57,jasmine oil,POOR,"Plant Extracts, Sensitizing, Fragrance: Synthetic and Fragrant Plant Extracts",
58,Jasminium grandiflorum,POOR,"Plant Extracts, Sensitizing, Fragrance: Synthetic and Fragrant Plant Extracts",
59,jonquil extract,POOR,"Plant Extracts, Sensitizing, Fragrance: Synthetic and Fragrant Plant Extracts",
60,juniper berry,POOR,"Skin-Soothing, Plant Extracts, Sensitizing",
61,Juniperus communis,POOR,"Skin-Soothing, Sensitizing, Plant Extracts",
62,Kathon CG,POOR,"Preservatives, Sensitizing",
63,kava-kava extract,POOR,"Skin-Soothing, Plant Extracts, Sensitizing",
64,kawa extract,POOR,"Skin-Soothing, Plant Extracts, Sensitizing",
65,kiwi fruit extract,AVERAGE,"Antioxidants, Plant Extracts, Sensitizing",
66,kola nut,AVERAGE,"Plant Extracts, Sensitizing",
67,lavandin oil,POOR,"Plant Extracts, Sensitizing, Fragrance: Synthetic and Fragrant Plant Extracts",
68,Lavandula angustifolia,POOR,"Plant Extracts, Sensitizing, Fragrance: Synthetic and Fragrant Plant Extracts",
69,Lavandula officinalis,POOR,"Plant Extracts, Fragrance: Synthetic and Fragrant Plant Extracts, Sensitizing",
70,lavender extract and oil,POOR,"Plant Extracts, Sensitizing, Fragrance: Synthetic and Fragrant Plant Extracts",
71,lemon,POOR,"Plant Extracts, Fragrance: Synthetic and Fragrant Plant Extracts, Sensitizing",
72,lemon balm,POOR,"Plant Extracts, Sensitizing, Fragrance: Synthetic and Fragrant Plant Extracts",
73,lemongrass extract,POOR,"Plant Extracts, Fragrance: Synthetic and Fragrant Plant Extracts, Sensitizing",
74,lemongrass oil,POOR,"Plant Extracts, Fragrance: Synthetic and Fragrant Plant Extracts, Sensitizing",
75,lemon juice,POOR,"Antioxidants, Sensitizing",
76,lemon oil,POOR,"Plant Extracts, Fragrance: Synthetic and Fragrant Plant Extracts, Sensitizing",
77,Lentinus edodes extract,AVERAGE,"Plant Extracts, Sensitizing, Antioxidants",
78,Levisticum officinale root extract,POOR,"Plant Extracts, Sensitizing, Fragrance: Synthetic and Fragrant Plant Extracts",
79,lime oil and extract,POOR,"Plant Extracts, Sensitizing, Fragrance: Synthetic and Fragrant Plant Extracts",
80,limonene,POOR,"Fragrance: Synthetic and Fragrant Plant Extracts, Sensitizing",
81,linalool,POOR,"Fragrance: Synthetic and Fragrant Plant Extracts, Sensitizing",
82,Litsea cubeba,POOR,"Plant Extracts, Fragrance: Synthetic and Fragrant Plant Extracts, Sensitizing",
83,lovage root extract,POOR,"Plant Extracts, Sensitizing",
84,lye,POOR,"Cleansing Agents, Sensitizing",
85,mandarin orange oil or extract,POOR,"Plant Extracts, Sensitizing, Fragrance: Synthetic and Fragrant Plant Extracts",
86,marjoram,POOR,"Plant Extracts, Fragrance: Synthetic and Fragrant Plant Extracts, Sensitizing",
87,Melaleuca cajeputi oil,POOR,"Plant Extracts, Sensitizing",
88,Melia azadirachta oil,POOR,Sensitizing,
89,Melissa officinalis,POOR,"Plant Extracts, Sensitizing, Fragrance: Synthetic and Fragrant Plant Extracts",
90,Mentha arvensis,POOR,"Plant Extracts, Sensitizing",
91,Mentha piperita,POOR,"Plant Extracts, Fragrance: Synthetic and Fragrant Plant Extracts, Sensitizing",
92,Mentha spicata,POOR,"Plant Extracts, Sensitizing, Fragrance: Synthetic and Fragrant Plant Extracts",
93,Mentha viridis,POOR,"Plant Extracts, Fragrance: Synthetic and Fragrant Plant Extracts, Sensitizing",
94,menthol,POOR,"Plant Extracts, Fragrance: Synthetic and Fragrant Plant Extracts, Sensitizing",
